game,subject_mark,winner,subject_result,reason,attempts,moves,subject_decisions,subject_legal,subject_illegal,subject_optimal_legal,opponent_decisions,opponent_legal,opponent_illegal,opponent_optimal_legal
843,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
844,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,3
845,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
846,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
847,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
848,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
849,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
850,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
851,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
852,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
853,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
854,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
855,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
856,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
857,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
858,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
859,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
860,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
861,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
862,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
863,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
864,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
865,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
866,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
867,X,X,W,illegal_forfeit:O,8,7,4,4,0,3,4,3,1,2
868,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
869,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
870,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
871,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
872,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
873,X,X,W,illegal_forfeit:O,4,3,2,2,0,1,2,1,1,0
874,O,O,W,illegal_forfeit:X,9,8,4,4,0,3,5,4,1,2
875,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
876,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
877,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
878,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
879,X,O,L,normal,6,6,3,3,0,1,3,3,0,2
880,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
881,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
882,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
883,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
884,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
885,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
886,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
887,X,X,W,illegal_forfeit:O,4,3,2,2,0,1,2,1,1,0
888,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
889,X,X,W,illegal_forfeit:O,8,7,4,4,0,3,4,3,1,2
890,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
891,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
892,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,2
893,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
894,O,X,L,illegal_forfeit:O,2,1,1,0,1,0,1,1,0,1
895,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
896,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
897,X,X,W,illegal_forfeit:O,6,5,3,3,0,1,3,2,1,0
898,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,2
899,X,X,W,illegal_forfeit:O,8,7,4,4,0,2,4,3,1,1
900,O,O,W,illegal_forfeit:X,7,6,3,3,0,1,4,3,1,2
901,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
902,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
903,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,0
904,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,3
905,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
906,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
907,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
908,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
909,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
910,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
911,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
912,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
913,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
914,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
915,X,X,W,illegal_forfeit:O,4,3,2,2,0,1,2,1,1,0
916,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
917,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
918,O,O,W,illegal_forfeit:X,7,6,3,3,0,1,4,3,1,2
919,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
920,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
921,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
922,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,1
923,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
924,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
925,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
926,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
927,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
928,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
929,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
930,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
931,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
932,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
933,X,X,W,illegal_forfeit:O,6,5,3,3,0,1,3,2,1,1
934,O,X,L,normal,7,7,3,3,0,1,4,4,0,3
935,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
936,O,O,W,normal,8,8,4,4,0,2,4,4,0,2
937,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
938,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
939,X,X,W,illegal_forfeit:O,6,5,3,3,0,1,3,2,1,0
940,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
941,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
942,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
943,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
944,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
945,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
946,O,O,W,illegal_forfeit:X,7,6,3,3,0,3,4,3,1,2
947,X,X,W,illegal_forfeit:O,2,1,1,1,0,1,1,0,1,0
948,O,O,W,illegal_forfeit:X,5,4,2,2,0,1,3,2,1,2
949,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
950,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
951,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
952,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
953,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
954,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
955,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
956,O,O,W,illegal_forfeit:X,5,4,2,2,0,2,3,2,1,2
957,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,2
958,O,O,W,illegal_forfeit:X,9,8,4,4,0,4,5,4,1,4
959,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,1
960,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
961,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,0
962,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
963,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
964,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
965,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
966,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
967,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
968,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
969,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,0
970,O,X,L,normal,7,7,3,3,0,2,4,4,0,3
971,X,X,W,illegal_forfeit:O,6,5,3,3,0,3,3,2,1,2
972,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,2
973,X,X,W,illegal_forfeit:O,6,5,3,3,0,2,3,2,1,1
974,O,O,W,illegal_forfeit:X,7,6,3,3,0,2,4,3,1,3
975,X,X,W,illegal_forfeit:O,6,5,3,3,0,1,3,2,1,1
976,O,O,W,illegal_forfeit:X,3,2,1,1,0,1,2,1,1,1
977,X,X,W,illegal_forfeit:O,4,3,2,2,0,2,2,1,1,1
